"","continent","location","new_cases","total_cases","new_cases_per_million","new_deaths","total_deaths","new_deaths_per_million","population","cases_density_population"
"1","Asia","India",10667,343091,7.655,380,9900,0.273,1393409033,0.000246224182472341
"2","Asia","Palestine",41,555,7.85,0,3,0,5222756,0.000106265734030079
"3","Asia","Armenia",517,10009,174.184,19,158,6.401,2968128,0.00337215915216594
"4","Asia","Jordan",7,1111,0.682,0,9,0,10269022,0.000108189465364861
"5","Asia","Iran",2369,182525,27.861,75,8659,0.882,85028760,0.00214662662374472
"6","Asia","Hong Kong",3,1131,0.397,0,5,0,7552800,0.000149745789640928
"7","Asia","Maldives",26,2120,47.828,0,8,0,543620,0.00389978293661013
"8","Asia","Turkey",1396,194511,16.415,19,5065,0.223,85042736,0.00228721474812381
"9","Asia","Philippines",244,20626,2.197,3,987,0.027,111046910,0.000185741323193955
"10","Asia","Iran",3134,160696,36.858,70,8012,0.823,85028760,0.00188990172266419
"11","Asia","Iran",2531,212501,29.766,133,9996,1.564,85028760,0.00249916616448364
"12","Asia","Oman",689,18887,131.907,1,84,0.191,5223376,0.00361586070005299
"13","Asia","Palestine",0,464,0,0,3,0,5222756,8.88419830449671e-05
"14","Asia","Sri Lanka",9,2010,0.419,0,11,0,21497306,9.35000878714756e-05
"15","Asia","Armenia",425,17489,143.188,8,293,2.695,2968128,0.00589226610173146
"16","Asia","Thailand",4,3162,0.057,0,58,0,69950844,4.52031715299961e-05
"17","Asia","Syria",7,177,0.383,0,6,0,18275704,9.68498942639911e-06
"18","Asia","Japan",61,17240,0.484,4,929,0.032,126050796,0.000136770258872463
"19","Asia","Tajikistan",61,5691,6.257,0,52,0,9749625,0.000583714758259933
"20","Asia","Brunei",0,141,0,0,3,0,441532,0.000319342652401185
"21","Africa","Madagascar",18,1290,0.633,0,10,0,28427333,4.5378861253006e-05
"22","Africa","Libya",14,196,2.012,0,5,0,6958538,2.81668361946144e-05
"23","Africa","South Africa",1455,35812,24.233,50,755,0.833,60041996,0.000596449191995549
"24","Africa","Mozambique",28,816,0.871,0,5,0,32163045,2.53707321554909e-05
"25","Africa","Zimbabwe",3,206,0.199,0,4,0,15092171,1.36494610351287e-05
"26","Africa","Mali",35,1386,1.678,1,79,0.048,20855724,6.64565756623937e-05
"27","Africa","Cameroon",282,11892,10.358,2,303,0.073,27224262,0.000436816248682884
"28","Africa","Rwanda",11,431,0.829,0,2,0,13276517,3.24633335685858e-05
"29","Africa","Democratic Republic of Congo",198,6411,2.143,0,142,0,92377986,6.93996511246738e-05
"30","Africa","Chad",3,853,0.177,1,74,0.059,16914985,5.04286583759903e-05
"31","Africa","Angola",0,86,0,0,4,0,33933611,2.53436040154996e-06
"32","Africa","Democratic Republic of Congo",169,3495,1.829,3,75,0.032,92377986,3.78336890782616e-05
"33","Africa","Benin",0,650,0,0,11,0,12451031,5.22045122207149e-05
"34","Africa","Zimbabwe",7,574,0.464,1,7,0.066,15092171,3.80329642435141e-05
"35","Africa","Djibouti",5,4635,4.989,0,52,0,1002197,0.00462483922821561
"36","Africa","Benin",53,650,4.257,0,11,0,12451031,5.22045122207149e-05
"37","Africa","Sierra Leone",17,1427,2.088,1,60,0.123,8141343,0.000175278206556338
"38","Africa","Mauritius",0,337,0,0,10,0,1273428,0.00026464001105677
"39","Africa","Gambia",0,25,0,0,1,0,2486937,1.00525264612654e-05
"40","Africa","Libya",76,332,10.922,0,5,0,6958538,4.77111715133265e-05
"41","Europe","Bosnia and Herzegovina",11,2535,3.371,3,157,0.919,3263459,0.000776783161669872
